team,group,win_pct,final_pct,semi_pct,group_advance_pct,group_win_pct
Spain,H,21.49,32.39,45.78,99.11,82.96
England,L,12.58,20.99,32.41,96.84,71.31
Argentina,J,9.96,17.18,30.97,93.79,67.04
Germany,E,8.03,16.29,30.26,94.2,58.89
Norway,I,5.65,12.16,21.99,86.51,44.52
Morocco,C,5.57,11.58,22.05,92.22,46.9
France,I,5.54,11.72,21.47,84.23,40.63
Ecuador,E,4.34,9.45,19.41,82.84,28.86
Portugal,K,4.15,8.71,18.27,83.85,50.97
Netherlands,F,3.9,8.53,18.12,85.24,47.01
Switzerland,B,3.28,7.43,16.86,96.72,73.29
Brazil,C,2.74,6.67,14.51,88.72,38.13
Japan,F,2.54,6.16,13.26,79.89,37.59
Colombia,K,1.53,3.7,9.2,74.31,34.13
Croatia,L,1.19,3.4,7.87,81.49,24.41
Uruguay,H,1.14,2.84,7.95,79.2,15.08
Belgium,G,1.02,2.46,6.66,85.47,53.61
Turkey,D,0.83,2.11,6.61,69.62,34.88
Austria,J,0.8,2.32,6.64,67.52,20.54
Paraguay,D,0.66,1.7,4.82,61.7,24.94
Senegal,I,0.66,2.3,6.18,52.65,13.38
Ivory Coast,E,0.41,1.57,5.16,57.24,11.79
Australia,D,0.41,1.45,5.15,63.25,26.83
Scotland,C,0.32,1.27,4.52,67.29,14.87
Canada,B,0.28,0.86,3.76,71.75,18.56
Mexico,A,0.26,1.19,3.58,70.51,33.42
Egypt,G,0.13,0.42,1.66,54.49,17.78
Iran,G,0.12,0.5,2.11,62.93,23.48
Tunisia,F,0.08,0.52,1.94,37.23,8.59
South Korea,A,0.07,0.39,1.89,63.56,28.42
Sweden,F,0.06,0.18,0.86,29.22,6.81
Czech Republic,A,0.06,0.35,1.47,59.52,25.91
DR Congo,K,0.06,0.2,0.82,27.89,6.71
Algeria,J,0.05,0.34,1.73,41.91,8.79
Uzbekistan,K,0.04,0.2,1.12,32.02,8.19
Bosnia and Herzegovina,B,0.02,0.06,0.44,39.61,6.43
United States,D,0.02,0.27,1.15,39.33,13.35
South Africa,A,0.01,0.02,0.34,37.79,12.25
Haiti,C,0.0,0.0,0.0,1.23,0.1
Qatar,B,0.0,0.0,0.01,13.42,1.72
Cape Verde,H,0.0,0.02,0.09,14.41,0.65
Saudi Arabia,H,0.0,0.01,0.16,22.16,1.31
New Zealand,G,0.0,0.0,0.12,22.63,5.13
Curaçao,E,0.0,0.0,0.0,5.28,0.46
Jordan,J,0.0,0.05,0.31,21.59,3.63
Iraq,I,0.0,0.02,0.07,10.27,1.47
Ghana,L,0.0,0.02,0.22,23.38,3.14
Panama,L,0.0,0.0,0.03,10.34,1.14
